 TIME                    	Temperature_ext_C        	Sky_Temperature          	Relative_Humidity        	Wind_velocity            	Solar_zenith_angle       	Solar_Azimut_angle       	Total_titled_surf_radiati	Beam_radiation           	Angle_of_incid_4_surf    	Ground_reflectance       	
  +1.0000000000000000E+00	  -1.2000000000000000E-01	  -2.1354184247552581E+01	  +3.7129955365802266E-03	  +1.5900000000000001E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.0000000000000000E+00	  -1.4999999999999999E-02	  -2.1305951286983685E+01	  +3.7648553307492220E-03	  +1.2450000000000001E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.0000000000000000E+00	  -2.5500000000000000E-01	  -2.1821584399111714E+01	  +3.6907247890837929E-03	  +1.0200000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +4.0000000000000000E+00	  -5.0000000000000000E-01	  -1.9525095634894825E+01	  +3.5978121226060557E-03	  +1.3199999999999998E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +5.0000000000000000E+00	  -3.5499999999999998E-01	  -1.4019317405189156E+01	  +3.6423092100114586E-03	  +1.5899999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +6.0000000000000000E+00	  -3.2999999999999996E-01	  -8.0357645882986617E+00	  +3.6507881104995928E-03	  +1.7200000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +7.0000000000000000E+00	  -1.7499999999999999E-01	  -4.6041612532856675E+00	  +3.6975728442564379E-03	  +1.7850000000000001E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +8.0000000000000000E+00	  +2.9999999999999999E-02	  -4.4314292285838519E+00	  +3.7779340978195894E-03	  +1.8050000000000002E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +9.0000000000000000E+00	  +1.6000000000000000E-01	  -4.3300220655632984E+00	  +3.8312329876952806E-03	  +1.8149999999999999E+00	  +8.7991924173615345E+01	  -5.4902492515515377E+01	  +7.3513593906420436E+00	  +0.0000000000000000E+00	  +5.4927215231048109E+01	  +2.0000000000000001E-01	
  +1.0000000000000000E+01	  +4.7999999999999998E-01	  -4.0173005601590717E+00	  +3.9192648741396838E-03	  +1.7749999999999999E+00	  +8.1946693994702215E+01	  -4.6948932426423305E+01	  +4.1500854132023335E+02	  +2.1899735327800005E+02	  +4.7474540080985129E+01	  +2.0000000000000001E-01	
  +1.1000000000000000E+01	  +7.3999999999999999E-01	  -3.7569808090609058E+00	  +3.9921670661838757E-03	  +1.7600000000000000E+00	  +7.4853276756680160E+01	  -3.4863944123788201E+01	  +5.4260965049896242E+02	  +2.7086642143724612E+02	  +3.7626526163479447E+01	  +2.0000000000000001E-01	
  +1.2000000000000000E+01	  +8.7000000000000000E-01	  -3.6230734216373435E+00	  +4.0299802308442125E-03	  +1.7300000000000000E+00	  +6.9740770290273545E+01	  -2.1406368520992977E+01	  +9.1791355241673659E+02	  +4.9365614963033653E+02	  +2.9141642569027056E+01	  +2.0000000000000001E-01	
  +1.3000000000000000E+01	  +1.2400000000000000E+00	  -3.2202608021552805E+00	  +4.1412670508893324E-03	  +1.5000000000000000E+00	  +6.7093237002183429E+01	  -6.8394758393938329E+00	  +1.2117574894708962E+03	  +6.9142577466795558E+02	  +2.3853230821550127E+01	  +2.0000000000000001E-01	
  +1.4000000000000000E+01	  +1.7149999999999999E+00	  -2.6910947247171748E+00	  +4.2883058061902908E-03	  +1.3850000000000000E+00	  +6.7216054003209166E+01	  +8.1361716196297227E+00	  +1.3638620507462163E+03	  +8.5756502384221847E+02	  +2.4119998758798925E+01	  +2.0000000000000001E-01	
  +1.5000000000000000E+01	  +2.0750000000000002E+00	  -2.2718367617560489E+00	  +4.4027299644623513E-03	  +1.6200000000000001E+00	  +7.0094087964979465E+01	  +2.2628782704850170E+01	  +1.2166952347073266E+03	  +7.5921228167044728E+02	  +2.9787996665111578E+01	  +2.0000000000000001E-01	
  +1.6000000000000000E+01	  +2.3600000000000003E+00	  -1.9232744293126984E+00	  +4.4936557485158075E-03	  +2.0800000000000001E+00	  +7.5399451982842308E+01	  +3.5970781897911884E+01	  +6.3679027697660229E+02	  +3.3269536307049270E+02	  +3.8447229296581234E+01	  +2.0000000000000001E-01	
  +1.7000000000000000E+01	  +2.5949999999999998E+00	  -1.6281189081121283E+00	  +4.5460946682939806E-03	  +2.5899999999999999E+00	  +8.2640905642244107E+01	  +4.7937769099220567E+01	  +5.2745814021755541E+02	  +3.2769145067530246E+02	  +4.8362231934471062E+01	  +2.0000000000000001E-01	
  +1.8000000000000000E+01	  +2.7949999999999999E+00	  -1.3695401519098027E+00	  +4.5633893677920643E-03	  +2.7000000000000002E+00	  +8.8375990503686424E+01	  +5.5361693439285652E+01	  +3.6620934832134759E+00	  +0.0000000000000000E+00	  +5.5377591051916504E+01	  +2.0000000000000001E-01	
  +1.9000000000000000E+01	  +3.0350000000000001E+00	  -1.0721641590914146E+00	  +4.5926269631966212E-03	  +2.8599999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.0000000000000000E+01	  +3.3999999999999999E+00	  -6.6364140968983065E-01	  +4.5899043727111880E-03	  +3.0350000000000001E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.1000000000000000E+01	  +3.6949999999999998E+00	  -3.2921644093670466E-01	  +4.5861356604990763E-03	  +2.9399999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.2000000000000000E+01	  +3.9749999999999996E+00	  -1.2070340945626867E-02	  +4.6276118353727833E-03	  +2.9900000000000002E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.3000000000000000E+01	  +3.8950000000000000E+00	  -8.9121072516377353E-02	  +4.5516570730290140E-03	  +3.1250000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.4000000000000000E+01	  +3.6800000000000002E+00	  -3.1451405400440535E-01	  +4.4836289607932756E-03	  +3.2199999999999998E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.5000000000000000E+01	  +3.8200000000000003E+00	  -1.7271641451873165E-01	  +4.5294330955676521E-03	  +3.3799999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.6000000000000000E+01	  +3.9550000000000001E+00	  -7.8585596055677343E-01	  +4.5724643272435084E-03	  +3.6650000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.7000000000000000E+01	  +4.0499999999999998E+00	  -1.4613121910722953E+00	  +4.6278474166524391E-03	  +3.7149999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.8000000000000000E+01	  +4.1549999999999994E+00	  -1.3983996731730599E+00	  +4.6878035068476879E-03	  +3.7100000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.9000000000000000E+01	  +4.1500000000000004E+00	  -1.4747033650682511E+00	  +4.6873594968574591E-03	  +3.8049999999999997E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.0000000000000000E+01	  +3.9600000000000000E+00	  -2.5387591299518135E+00	  +4.6515514531818699E-03	  +3.8149999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.1000000000000000E+01	  +3.7599999999999998E+00	  -4.4621121891054827E+00	  +4.6113638633249856E-03	  +3.7450000000000001E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.2000000000000000E+01	  +3.5700000000000003E+00	  -5.6232983104587788E+00	  +4.5237459556533499E-03	  +3.7800000000000002E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.3000000000000000E+01	  +3.4350000000000001E+00	  -5.0264340886546393E+00	  +4.4780528343397949E-03	  +3.9450000000000003E+00	  +8.7993246336234819E+01	  -5.5027339415218719E+01	  +5.5029098527621114E+00	  +0.0000000000000000E+00	  +5.5051915438980600E+01	  +2.0000000000000001E-01	
  +3.4000000000000000E+01	  +3.6050000000000000E+00	  -3.2266921746543744E+00	  +4.5050906023774377E-03	  +4.0750000000000002E+00	  +8.1940942444754072E+01	  -4.7079998469792727E+01	  +5.7955414068369032E+02	  +3.3254073610256512E+02	  +4.7603964488869948E+01	  +2.0000000000000001E-01	
  +3.5000000000000000E+01	  +4.1449999999999996E+00	  -3.5575921936742247E+00	  +4.5257746171692556E-03	  +4.1500000000000004E+00	  +7.4828787862637370E+01	  -3.4996091942930519E+01	  +8.2662746745011577E+02	  +5.1802785409218814E+02	  +3.7754564093609929E+01	  +2.0000000000000001E-01	
