 TIME                    	Temperature_ext_C        	Sky_Temperature          	Relative_Humidity        	Wind_velocity            	Solar_zenith_angle       	Solar_Azimut_angle       	Total_titled_surf_radiati	Beam_radiation           	Angle_of_incid_4_surf    	Ground_reflectance       	
  +1.0000000000000000E+00	  +9.0600000000000005E+00	  +3.9584316435291385E+00	  +5.9394480320557686E-03	  +7.2400000000000002E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.0000000000000000E+00	  +8.9299999999999997E+00	  +3.7525173173439157E+00	  +5.8127228898242934E-03	  +7.3550000000000004E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.0000000000000000E+00	  +8.5000000000000000E+00	  +3.2130347889769268E+00	  +5.6065301037024739E-03	  +7.0700000000000003E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +4.0000000000000000E+00	  +8.1400000000000006E+00	  +2.8096114647789818E+00	  +5.6387732904868417E-03	  +6.6749999999999998E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +5.0000000000000000E+00	  +7.9849999999999994E+00	  +1.1210440453060073E+00	  +5.6779969851666690E-03	  +6.9949999999999992E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +6.0000000000000000E+00	  +7.8100000000000005E+00	  -7.1705395653270898E-01	  +5.5753888247459995E-03	  +6.7149999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +7.0000000000000000E+00	  +7.8000000000000007E+00	  -2.4086864328917841E+00	  +5.6389100714298382E-03	  +5.8450000000000006E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +8.0000000000000000E+00	  +7.8100000000000005E+00	  -5.0050097456394838E+00	  +5.6429333364787808E-03	  +5.4050000000000002E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +9.0000000000000000E+00	  +7.9500000000000002E+00	  -7.8062810746919240E+00	  +5.4276094010604504E-03	  +5.0950000000000006E+00	  +8.7991924173615345E+01	  -5.4902492515515377E+01	  +7.3513593906420436E+00	  +0.0000000000000000E+00	  +5.4927215231048109E+01	  +2.0000000000000001E-01	
  +1.0000000000000000E+01	  +8.7599999999999998E+00	  -1.1121554298132367E+01	  +5.2042490937052816E-03	  +4.7149999999999999E+00	  +8.1946693994702215E+01	  -4.6948932426423305E+01	  +1.1217073631127475E+03	  +8.1272351105391135E+02	  +4.7474540080985129E+01	  +2.0000000000000001E-01	
  +1.1000000000000000E+01	  +1.0414999999999999E+01	  -3.3247529950936041E+00	  +5.1085835152928213E-03	  +4.4749999999999996E+00	  +7.4853276756680160E+01	  -3.4863944123788201E+01	  +2.2093377136590407E+03	  +1.8019745089298899E+03	  +3.7626526163479447E+01	  +2.0000000000000001E-01	
  +1.2000000000000000E+01	  +1.2350000000000001E+01	  +6.2062185015828959E+00	  +4.9125813075395286E-03	  +4.3049999999999997E+00	  +6.9740770290273545E+01	  -2.1406368520992977E+01	  +2.3800226842202460E+03	  +1.7545231305332977E+03	  +2.9141642569027056E+01	  +2.0000000000000001E-01	
  +1.3000000000000000E+01	  +1.3594999999999999E+01	  +7.2839849674859920E+00	  +4.5524578697800407E-03	  +3.8649999999999998E+00	  +6.7093237002183429E+01	  -6.8394758393938329E+00	  +1.4574566572070817E+03	  +8.3629593697933660E+02	  +2.3853230821550127E+01	  +2.0000000000000001E-01	
  +1.4000000000000000E+01	  +1.4289999999999999E+01	  +8.7210275170741056E+00	  +4.2050635452823325E-03	  +3.8849999999999998E+00	  +6.7216054003209166E+01	  +8.1361716196297227E+00	  +1.1713936390417161E+03	  +5.9470984412046562E+02	  +2.4119998758798925E+01	  +2.0000000000000001E-01	
  +1.5000000000000000E+01	  +1.4289999999999999E+01	  +9.6787776527792175E+00	  +4.3665514168521845E-03	  +5.2799999999999994E+00	  +7.0094087964979465E+01	  +2.2628782704850170E+01	  +4.4958101070317389E+02	  +1.3434620622151948E+02	  +2.9787996665111578E+01	  +2.0000000000000001E-01	
  +1.6000000000000000E+01	  +1.2994999999999999E+01	  +8.7423160532042061E+00	  +5.4868961933357127E-03	  +7.2949999999999999E+00	  +7.5399451982842308E+01	  +3.5970781897911884E+01	  +2.0076498521019474E+02	  +9.3041923570561508E+01	  +3.8447229296581234E+01	  +2.0000000000000001E-01	
  +1.7000000000000000E+01	  +1.1430000000000000E+01	  +6.7091015618831307E+00	  +6.1452213315036381E-03	  +9.1700000000000017E+00	  +8.2640905642244107E+01	  +4.7937769099220567E+01	  +7.9889476099280941E+01	  +3.5878625986346982E+01	  +4.8362231934471062E+01	  +2.0000000000000001E-01	
  +1.8000000000000000E+01	  +1.0350000000000001E+01	  +5.0298139206856263E+00	  +6.2719063773860797E-03	  +1.0320000000000000E+01	  +8.8375990503686424E+01	  +5.5361693439285652E+01	  +3.6620934832134759E+00	  +0.0000000000000000E+00	  +5.5377591051916504E+01	  +2.0000000000000001E-01	
  +1.9000000000000000E+01	  +9.9550000000000001E+00	  +2.6272262266085136E+00	  +6.4527112111195592E-03	  +1.0090000000000000E+01	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.0000000000000000E+01	  +1.0114999999999998E+01	  +5.6110824267534554E-03	  +6.4763336640474272E-03	  +8.7100000000000009E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.1000000000000000E+01	  +1.0080000000000000E+01	  +8.6006308115509000E-01	  +6.5310397096503287E-03	  +7.3799999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.2000000000000000E+01	  +9.8750000000000000E+00	  +3.5769968037816966E+00	  +6.5868241609066914E-03	  +6.8149999999999995E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.3000000000000000E+01	  +9.7399999999999984E+00	  +5.4944816939243992E+00	  +6.5595108913935590E-03	  +6.4450000000000003E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.4000000000000000E+01	  +9.6950000000000003E+00	  +6.1157457460485034E+00	  +6.5340983074345079E-03	  +6.2249999999999996E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.5000000000000000E+01	  +9.5000000000000000E+00	  +5.9114125677655238E+00	  +6.4802351856440036E-03	  +5.8149999999999995E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.6000000000000000E+01	  +9.1999999999999993E+00	  +4.2358365180427882E+00	  +6.4223199295819818E-03	  +5.1750000000000007E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
