 TIME                    	Temperature_ext_C        	Sky_Temperature          	Relative_Humidity        	Wind_velocity            	Solar_zenith_angle       	Solar_Azimut_angle       	Total_titled_surf_radiati	Beam_radiation           	Angle_of_incid_4_surf    	Ground_reflectance       	
  +1.0000000000000000E+00	  +5.4900000000000002E+00	  -1.3728144119355420E+01	  +5.3087756171088362E-03	  +2.1000000000000001E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.0000000000000000E+00	  +5.0350000000000001E+00	  -1.4497577095652161E+01	  +5.1428399894185824E-03	  +2.1050000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.0000000000000000E+00	  +4.4000000000000004E+00	  -1.5616611999604800E+01	  +4.9190713088749652E-03	  +2.4649999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +4.0000000000000000E+00	  +4.1150000000000002E+00	  -1.6294754348017761E+01	  +4.8206134484073994E-03	  +2.6749999999999998E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +5.0000000000000000E+00	  +3.9299999999999997E+00	  -1.6844395942119831E+01	  +4.7572766750913131E-03	  +2.3199999999999998E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +6.0000000000000000E+00	  +3.7500000000000000E+00	  -1.7406896702462205E+01	  +4.6972258378129043E-03	  +2.1250000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +7.0000000000000000E+00	  +3.4749999999999996E+00	  -1.8115952482091444E+01	  +4.5808388237047236E-03	  +2.1900000000000004E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +8.0000000000000000E+00	  +3.1450000000000000E+00	  -1.8878892204714731E+01	  +4.4483000431028109E-03	  +2.2549999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +9.0000000000000000E+00	  +3.4950000000000001E+00	  -1.8642939528187981E+01	  +4.5335889345125991E-03	  +2.2000000000000002E+00	  +8.7991924173615345E+01	  -5.4902492515515377E+01	  +7.3513593906420436E+00	  +0.0000000000000000E+00	  +5.4927215231048109E+01	  +2.0000000000000001E-01	
  +1.0000000000000000E+01	  +5.0800000000000001E+00	  -1.6829898038399790E+01	  +4.8757425361402179E-03	  +2.3700000000000001E+00	  +8.1946693994702215E+01	  -4.6948932426423305E+01	  +1.4129947877859815E+03	  +1.0901201585393781E+03	  +4.7474540080985129E+01	  +2.0000000000000001E-01	
  +1.1000000000000000E+01	  +7.9050000000000002E+00	  -9.9097146832554017E+00	  +5.3609326471857378E-03	  +2.5300000000000002E+00	  +7.4853276756680160E+01	  -3.4863944123788201E+01	  +2.2667933691637572E+03	  +1.8105281853963290E+03	  +3.7626526163479447E+01	  +2.0000000000000001E-01	
  +1.2000000000000000E+01	  +1.0855000000000000E+01	  -5.7291221622889452E+00	  +5.8112699951498002E-03	  +2.1600000000000001E+00	  +6.9740770290273545E+01	  -2.1406368520992977E+01	  +2.8105295498751225E+03	  +2.2670451202768954E+03	  +2.9141642569027056E+01	  +2.0000000000000001E-01	
  +1.3000000000000000E+01	  +1.2945000000000000E+01	  -6.8528051835159545E+00	  +6.1631207682691959E-03	  +1.6200000000000001E+00	  +6.7093237002183429E+01	  -6.8394758393938329E+00	  +3.0132909352230949E+03	  +2.4627927592934798E+03	  +2.3853230821550127E+01	  +2.0000000000000001E-01	
  +1.4000000000000000E+01	  +1.4820000000000000E+01	  -5.4606144183265997E+00	  +6.4956235723745504E-03	  +1.1450000000000000E+00	  +6.7216054003209166E+01	  +8.1361716196297227E+00	  +3.0490057359316179E+03	  +2.4938385176101292E+03	  +2.4119998758798925E+01	  +2.0000000000000001E-01	
  +1.5000000000000000E+01	  +1.6620000000000001E+01	  -1.6279228276574713E+00	  +6.7027919486301723E-03	  +7.9000000000000004E-01	  +7.0094087964979465E+01	  +2.2628782704850170E+01	  +2.8133976063267341E+03	  +2.3182531399155223E+03	  +2.9787996665111578E+01	  +2.0000000000000001E-01	
  +1.6000000000000000E+01	  +1.7460000000000001E+01	  +2.1635514970272425E+00	  +6.9484878270504495E-03	  +6.2000000000000000E-01	  +7.5399451982842308E+01	  +3.5970781897911884E+01	  +2.2469272149482954E+03	  +1.8100883312818330E+03	  +3.8447229296581234E+01	  +2.0000000000000001E-01	
  +1.7000000000000000E+01	  +1.6405000000000001E+01	  +2.2757562861129941E+00	  +7.0856136767433195E-03	  +1.0000000000000000E+00	  +8.2640905642244107E+01	  +4.7937769099220567E+01	  +1.4131933146007730E+03	  +1.1074535887785769E+03	  +4.8362231934471062E+01	  +2.0000000000000001E-01	
